Entity,Code,Year,temp_contrib_total,temp_contrib_n2o,temp_contrib_ch4,temp_contrib_co2,ghg_emissions_co2eq,temp_contrib_fossil,temp_contrib_land,temp_anomaly
World,OWID_WRL,1851,0.0017349496,6.7629015e-05,0.00044850307,0.0012188175,4100721200.0,0.0002900023,0.0014449474,-0.2333498
World,OWID_WRL,1852,0.0034910105,0.00013642729,0.0008958221,0.0024587612,4156867000.0,0.0005840909,0.0029069197,-0.22939907
World,OWID_WRL,1853,0.0052787424,0.00020635224,0.0013435187,0.0037288712,4233854500.0,0.0008842343,0.004394508,-0.27035445
World,OWID_WRL,1854,0.007104785,0.000277345,0.0018013353,0.0050261053,4308952000.0,0.0012129006,0.0058918847,-0.29163003
World,OWID_WRL,1855,0.008938573,0.00034933048,0.002257593,0.00633165,4336072700.0,0.0015435872,0.007394986,-0.2969512
World,OWID_WRL,1856,0.010793447,0.00042221724,0.0027119347,0.007659295,4395791400.0,0.0018813759,0.008912071,-0.32035372
World,OWID_WRL,1857,0.012659032,0.0004958976,0.003164302,0.008998832,4429868500.0,0.0022196567,0.010439375,-0.46723005
World,OWID_WRL,1858,0.014537492,0.00057024765,0.0036129323,0.010354311,4472476700.0,0.0025574127,0.011980079,-0.3887657
World,OWID_WRL,1859,0.016441245,0.00064512715,0.0040651374,0.011730979,4529827300.0,0.002907734,0.01353351,-0.28119546
World,OWID_WRL,1860,0.018314514,0.0007203795,0.0045233713,0.013070764,4459609000.0,0.0032785481,0.015035966,-0.39016518
World,OWID_WRL,1861,0.020143118,0.00079590647,0.004985043,0.014362168,4361128400.0,0.0036590705,0.016484046,-0.42927712
World,OWID_WRL,1862,0.021964936,0.00087168295,0.005445947,0.015647305,4354249000.0,0.004040243,0.017924692,-0.53639776
World,OWID_WRL,1863,0.023807418,0.0009476902,0.005916522,0.016943205,4389887000.0,0.0044403747,0.019367043,-0.3443432
World,OWID_WRL,1864,0.025655761,0.0010239162,0.006394318,0.018237526,4397455000.0,0.004859459,0.0207963,-0.4654367
World,OWID_WRL,1865,0.027506372,0.0011003551,0.006875647,0.019530369,4404490000.0,0.005292,0.022214372,-0.33258784
World,OWID_WRL,1866,0.029368347,0.0011770076,0.007366713,0.020824626,4418398700.0,0.005738997,0.02362935,-0.34126064
World,OWID_WRL,1867,0.031244878,0.001253881,0.00785739,0.022133607,4459602000.0,0.006198514,0.025046363,-0.35696334
World,OWID_WRL,1868,0.033123177,0.0013309888,0.0083508305,0.023441356,4464261600.0,0.0066651907,0.026457986,-0.35196072
World,OWID_WRL,1869,0.035010315,0.0014083514,0.00885001,0.024751954,4481321500.0,0.007149857,0.027860459,-0.31657043
World,OWID_WRL,1870,0.036981195,0.0014859948,0.009347355,0.026147846,4678403000.0,0.0076363995,0.029344795,-0.32789087
World,OWID_WRL,1871,0.039037533,0.0015647615,0.0098633785,0.027609393,4840225000.0,0.0081489105,0.030888623,-0.3685807
World,OWID_WRL,1872,0.04117392,0.0016460835,0.01040471,0.029123127,4980439600.0,0.008706143,0.03246778,-0.32804197
World,OWID_WRL,1873,0.043380152,0.0017310617,0.010962725,0.030686365,5113710600.0,0.00929004,0.034090113,-0.34133235
World,OWID_WRL,1874,0.045580436,0.0018204645,0.011506503,0.032253467,5136837600.0,0.009833064,0.03574737,-0.3732512
World,OWID_WRL,1875,0.047842428,0.0019147291,0.012070788,0.033856913,5244468000.0,0.010412885,0.037429545,-0.37562594
World,OWID_WRL,1876,0.050136905,0.0020139609,0.012640465,0.035482477,5315372000.0,0.010995009,0.039141893,-0.42410994
World,OWID_WRL,1877,0.052475184,0.002117933,0.013222288,0.03713496,5397178000.0,0.01158788,0.040887304,-0.101108834
World,OWID_WRL,1878,0.05485223,0.0022260877,0.013813887,0.038812254,5471722500.0,0.012185348,0.042666882,-0.011315193
World,OWID_WRL,1879,0.057287175,0.002337535,0.014419665,0.040529978,5584326000.0,0.012812095,0.044475082,-0.30363432
World,OWID_WRL,1880,0.059808053,0.002451053,0.01504882,0.04230818,5744898600.0,0.013498972,0.04630908,-0.31583208
World,OWID_WRL,1881,0.062361464,0.0025658212,0.015697883,0.044097763,5790540000.0,0.014206852,0.04815461,-0.23224552
World,OWID_WRL,1882,0.064990416,0.002681665,0.016371151,0.0459376,5922506000.0,0.014949388,0.05004103,-0.29553008
World,OWID_WRL,1883,0.067692906,0.0027984448,0.017062973,0.04783149,6064236000.0,0.015725236,0.05196767,-0.3464744
World,OWID_WRL,1884,0.07041432,0.0029160564,0.017758964,0.049739297,6108973000.0,0.016498398,0.053915918,-0.49232006
World,OWID_WRL,1885,0.073146984,0.0030344303,0.01846028,0.05165228,6133997600.0,0.017268384,0.055878602,-0.47112358
World,OWID_WRL,1886,0.07590718,0.0031535323,0.019168591,0.053585056,6192668700.0,0.018040603,0.057866577,-0.42090362
World,OWID_WRL,1887,0.07873754,0.0032733632,0.019899275,0.055564903,6317310500.0,0.01884641,0.059891135,-0.49878576
World,OWID_WRL,1888,0.081658125,0.0033939593,0.020668045,0.05759612,6458240500.0,0.01973044,0.061927687,-0.37937889
World,OWID_WRL,1889,0.08459451,0.0035153916,0.02144242,0.059636697,6493166600.0,0.020607995,0.06398652,-0.24989556
World,OWID_WRL,1890,0.08767832,0.0036417518,0.02225662,0.061779946,6758279000.0,0.021562438,0.06611588,-0.50685817
World,OWID_WRL,1891,0.090846874,0.003769473,0.023083737,0.06399366,6936811000.0,0.022551715,0.06829515,-0.40131494
World,OWID_WRL,1892,0.094028704,0.0038986302,0.023901492,0.06622858,6999981600.0,0.023531416,0.07049729,-0.5075585
World,OWID_WRL,1893,0.097221285,0.0040292796,0.024705278,0.06848673,7062284300.0,0.024484511,0.07273678,-0.49461925
World,OWID_WRL,1894,0.1004835,0.0041614575,0.025540035,0.070782006,7167767000.0,0.025484607,0.07499889,-0.48376393
World,OWID_WRL,1895,0.10381965,0.00429518,0.026390946,0.07313353,7319153700.0,0.026533669,0.07728598,-0.4487516
World,OWID_WRL,1896,0.10720775,0.0044304454,0.02725544,0.075521864,7421089000.0,0.027612941,0.079594806,-0.28400728
World,OWID_WRL,1897,0.11066886,0.0045672297,0.028141687,0.07795995,7556390400.0,0.028741496,0.08192737,-0.25980017
World,OWID_WRL,1898,0.11421199,0.0047054915,0.02905469,0.08045181,7701779000.0,0.029931277,0.084280714,-0.48579213
World,OWID_WRL,1899,0.11788051,0.0048451694,0.030002307,0.08303303,7934907400.0,0.031221032,0.086659476,-0.35543364
World,OWID_WRL,1900,0.12166021,0.004986181,0.030962609,0.08571142,8180183000.0,0.03256403,0.08909618,-0.23447904
World,OWID_WRL,1901,0.12550162,0.0051286146,0.03193171,0.08844129,8318475300.0,0.033942234,0.09155938,-0.29342857
World,OWID_WRL,1902,0.12939888,0.0052727046,0.032902595,0.09122358,8456297000.0,0.035342593,0.09405629,-0.43898427
World,OWID_WRL,1903,0.1334216,0.0054186354,0.033907384,0.09409557,8694631000.0,0.03685828,0.09656331,-0.5333264
World,OWID_WRL,1904,0.13749509,0.005566538,0.034921262,0.09700729,8802919000.0,0.038392127,0.09910297,-0.5975614
World,OWID_WRL,1905,0.14168338,0.005716494,0.03596538,0.10000151,9016644000.0,0.0400202,0.10166318,-0.40775132
World,OWID_WRL,1906,0.14597061,0.005868532,0.03705109,0.10305099,9176698000.0,0.041735772,0.104234844,-0.3191393
World,OWID_WRL,1907,0.1505052,0.006022631,0.038205888,0.10627668,9623841000.0,0.043677162,0.10682804,-0.5041577
World,OWID_WRL,1908,0.15495822,0.0061787176,0.03931319,0.10946631,9548418000.0,0.04551813,0.10944009,-0.5138707
World,OWID_WRL,1909,0.15951268,0.006336666,0.04045719,0.11271883,9721779000.0,0.04744456,0.112068124,-0.5357649
World,OWID_WRL,1910,0.16413197,0.0064963014,0.041608687,0.116026975,9877268000.0,0.049440373,0.11469159,-0.5310242
World,OWID_WRL,1911,0.1687795,0.0066578435,0.042770036,0.11935163,9940845000.0,0.051465392,0.11731412,-0.5392051
World,OWID_WRL,1912,0.17349821,0.006821863,0.043957885,0.122718476,10065119000.0,0.053586222,0.119912,-0.47567302
World,OWID_WRL,1913,0.17840813,0.0069888067,0.04521904,0.12620029,10369888000.0,0.05590098,0.122507155,-0.46715254
World,OWID_WRL,1914,0.18308322,0.007158998,0.04639109,0.12953314,10020949000.0,0.057978712,0.12510452,-0.2625924
World,OWID_WRL,1915,0.18769859,0.007332637,0.047540534,0.13282542,9949031000.0,0.060012184,0.12768641,-0.19184391
World,OWID_WRL,1916,0.19246219,0.0075098006,0.048745986,0.1362064,10197043000.0,0.062213484,0.1302487,-0.42020997
World,OWID_WRL,1917,0.1973238,0.007690443,0.049976435,0.13965692,10391591000.0,0.06450821,0.13281558,-0.54301953
World,OWID_WRL,1918,0.20211762,0.007874394,0.05114819,0.14309503,10363822000.0,0.066721864,0.13539575,-0.42458433
World,OWID_WRL,1919,0.2065704,0.0080613615,0.052197,0.14631204,9848702000.0,0.06860227,0.13796812,-0.32551822
World,OWID_WRL,1920,0.21139206,0.0082509285,0.053329673,0.14981145,10547680000.0,0.07078711,0.14060494,-0.2985808
World,OWID_WRL,1921,0.21594322,0.0084429635,0.054334667,0.1531656,10187355000.0,0.0726407,0.14330252,-0.24067703
World,OWID_WRL,1922,0.22065814,0.008637651,0.055407904,0.15661259,10449588000.0,0.07462105,0.1460371,-0.33922812
World,OWID_WRL,1923,0.22567351,0.008835099,0.05657724,0.16026118,10983467000.0,0.07688454,0.14878897,-0.31793055
World,OWID_WRL,1924,0.2307377,0.00903534,0.057774514,0.16392785,11058261000.0,0.07917166,0.15156604,-0.3120622
World,OWID_WRL,1925,0.23584591,0.009238332,0.058970068,0.16763751,11183324000.0,0.08146573,0.15438019,-0.28242525
World,OWID_WRL,1926,0.24087553,0.009443954,0.06011985,0.17131172,11118605000.0,0.08367502,0.1572005,-0.12283547
World,OWID_WRL,1927,0.24611601,0.009652013,0.061321903,0.1751421,11544581000.0,0.08607806,0.16003795,-0.22940508
World,OWID_WRL,1928,0.25139245,0.009862238,0.06255779,0.17897242,11566127000.0,0.088497795,0.16289465,-0.20676155
World,OWID_WRL,1929,0.25686765,0.010074282,0.06385714,0.18293624,11925449000.0,0.09110311,0.16576454,-0.39275664
World,OWID_WRL,1930,0.26215625,0.0102877235,0.065107815,0.18676072,11621743000.0,0.09350059,0.16865566,-0.1768054
World,OWID_WRL,1931,0.26721388,0.010502299,0.06628649,0.1904251,11254602000.0,0.09562298,0.17159091,-0.10339768
World,OWID_WRL,1932,0.2720852,0.010717984,0.067409605,0.1939576,10960445000.0,0.09751931,0.17456588,-0.14546166
World,OWID_WRL,1933,0.27705285,0.010934794,0.068540804,0.19757724,11200728000.0,0.099484846,0.17756799,-0.32234442
World,OWID_WRL,1934,0.28235257,0.01115279,0.06985569,0.20134409,11596695000.0,0.10175166,0.18060091,-0.17433685
World,OWID_WRL,1935,0.28781897,0.011372072,0.07125452,0.20519239,11831508000.0,0.104168735,0.18365024,-0.20605922
World,OWID_WRL,1936,0.293547,0.011592785,0.07273291,0.20922132,12315408000.0,0.1068028,0.18674421,-0.16952093
World,OWID_WRL,1937,0.29947564,0.011815116,0.074278615,0.21338189,12674802000.0,0.10960453,0.18987109,-0.01919893
World,OWID_WRL,1938,0.305328,0.012039293,0.07585457,0.21743415,12446122000.0,0.112285934,0.19304208,-0.012200732
World,OWID_WRL,1939,0.31147248,0.012265588,0.077607356,0.22159952,12759981000.0,0.115223855,0.1962486,-0.040797167
World,OWID_WRL,1940,0.31790584,0.012494315,0.07936955,0.22604197,13447261000.0,0.11832473,0.19958112,0.07593584
World,OWID_WRL,1941,0.3246553,0.012731308,0.08132141,0.23060258,13780645000.0,0.12164187,0.20301344,0.038129337
World,OWID_WRL,1942,0.33141035,0.012986341,0.08325223,0.23517178,13876464000.0,0.12490913,0.20650122,0.0014060909
World,OWID_WRL,1943,0.3382119,0.013266863,0.08516054,0.2397845,14093721000.0,0.12816703,0.21004486,0.0064140745
World,OWID_WRL,1944,0.34512138,0.013578002,0.08711301,0.24443038,14283704000.0,0.13147946,0.21364193,0.14410514
World,OWID_WRL,1945,0.3515564,0.013922555,0.08895909,0.24867477,13436114000.0,0.13427413,0.21728228,0.043088365
World,OWID_WRL,1946,0.3583831,0.014301,0.090995274,0.2530868,13984759000.0,0.13740954,0.22097355,-0.1188128
World,OWID_WRL,1947,0.36554068,0.014711484,0.09312876,0.25770044,14620470000.0,0.14084302,0.22469766,-0.091205545
World,OWID_WRL,1948,0.3729116,0.015149835,0.09534665,0.2624151,14964012000.0,0.14446095,0.22845066,-0.12466127
World,OWID_WRL,1949,0.38018778,0.01560955,0.097552404,0.26702583,14829824000.0,0.14796503,0.23222277,-0.14380224
World,OWID_WRL,1950,0.3881965,0.016081806,0.09994614,0.27216855,16133820000.0,0.15197246,0.23622406,-0.22662179
World,OWID_WRL,1951,0.39674288,0.016561572,0.10262226,0.27755904,16826135000.0,0.15637478,0.24036808,-0.06115397
World,OWID_WRL,1952,0.40557835,0.017049216,0.10548498,0.28304416,17141976000.0,0.16094445,0.2446339,0.015354565
World,OWID_WRL,1953,0.41467276,0.01754518,0.10846789,0.2886597,17550529000.0,0.16565694,0.24901582,0.07763074
World,OWID_WRL,1954,0.42401674,0.018049989,0.11155009,0.29441667,17995368000.0,0.17047149,0.25354525,-0.11675021
World,OWID_WRL,1955,0.43406355,0.01856424,0.11494982,0.30054948,19054870000.0,0.17583515,0.2582284,-0.19730993
World,OWID_WRL,1956,0.44456935,0.01908861,0.11848952,0.30699122,19906697000.0,0.18150362,0.26306573,-0.2631656
World,OWID_WRL,1957,0.45545638,0.01962385,0.12219556,0.31363696,20525062000.0,0.18740168,0.2680547,-0.035334926
World,OWID_WRL,1958,0.4667485,0.020170793,0.12610388,0.32047385,21082114000.0,0.19354925,0.27319926,-0.017632553
World,OWID_WRL,1959,0.47874004,0.020730345,0.1303437,0.32766598,22116274000.0,0.20016536,0.2785747,-0.048004825
World,OWID_WRL,1960,0.49090168,0.021307025,0.13474387,0.3348508,22279125000.0,0.20713401,0.28376767,-0.115487024
World,OWID_WRL,1961,0.5029164,0.021914413,0.13916107,0.34184095,21972924000.0,0.21414183,0.28877458,-0.019997388
World,OWID_WRL,1962,0.51511556,0.022542104,0.14368986,0.3488836,22223774000.0,0.22137496,0.2937406,-0.06405444
World,OWID_WRL,1963,0.527621,0.023189863,0.14837842,0.3560527,22687578000.0,0.22902136,0.29859963,-0.03680589
World,OWID_WRL,1964,0.54046625,0.023860335,0.15321292,0.36339304,23235322000.0,0.23703669,0.3034296,-0.30586675
World,OWID_WRL,1965,0.55375236,0.024556566,0.15842722,0.37076858,23528948000.0,0.24564253,0.30810982,-0.2043879
World,OWID_WRL,1966,0.56747186,0.02528162,0.16389792,0.37829232,24142748000.0,0.2547146,0.31275722,-0.14888458
World,OWID_WRL,1967,0.5813667,0.026032295,0.16931398,0.38602042,24736307000.0,0.26386642,0.3175003,-0.11751631
World,OWID_WRL,1968,0.5957229,0.02680642,0.1748436,0.39407292,25618143000.0,0.27341503,0.3223079,-0.1686323
World,OWID_WRL,1969,0.6106042,0.027596863,0.18063626,0.40237114,26375401000.0,0.28364483,0.3269594,-0.031366713
World,OWID_WRL,1970,0.6260822,0.028394282,0.18654019,0.4111477,27596683000.0,0.29442728,0.3316549,-0.08510657
World,OWID_WRL,1971,0.64163125,0.029186506,0.19225317,0.42019156,28202478000.0,0.30539754,0.3362337,-0.20593274
World,OWID_WRL,1972,0.65764576,0.03000725,0.1980751,0.4295634,29130297000.0,0.3167964,0.34084937,-0.0938271
World,OWID_WRL,1973,0.6741546,0.030852558,0.20404547,0.43925652,30065463000.0,0.32876214,0.3453924,0.04993336
World,OWID_WRL,1974,0.6904457,0.031706475,0.20987763,0.4488616,29925347000.0,0.34058318,0.34986255,-0.17253734
World,OWID_WRL,1975,0.7066171,0.03258454,0.21552749,0.45850506,30165764000.0,0.35218272,0.35443437,-0.11075424
World,OWID_WRL,1976,0.72313863,0.033484507,0.22111318,0.46854097,31188770000.0,0.36418954,0.3589491,-0.21586166
World,OWID_WRL,1977,0.7398881,0.034405906,0.22662893,0.47885323,31948120000.0,0.3764051,0.36348298,0.10308852
World,OWID_WRL,1978,0.7567156,0.035342883,0.23203099,0.48934174,32418126000.0,0.38890314,0.36781245,0.0052557723
World,OWID_WRL,1979,0.7737052,0.036312222,0.23739363,0.49999934,33049813000.0,0.40161934,0.3720858,0.09085813
World,OWID_WRL,1980,0.7903366,0.03728857,0.24243198,0.51061606,32947655000.0,0.4139442,0.3763924,0.19607207
World,OWID_WRL,1981,0.80643505,0.038243517,0.24703015,0.5211614,32579475000.0,0.42572013,0.38071492,0.25001204
World,OWID_WRL,1982,0.8224949,0.03920832,0.25164053,0.5316461,32556354000.0,0.4374162,0.38507876,0.034263328
World,OWID_WRL,1983,0.8385681,0.04018047,0.2560232,0.5423644,33109391000.0,0.44899336,0.3895747,0.22383861
World,OWID_WRL,1984,0.85516495,0.041163824,0.26039708,0.55360407,34397426000.0,0.46094477,0.3942202,0.04800471
World,OWID_WRL,1985,0.8719027,0.04215278,0.26471192,0.56503797,34960530000.0,0.47314182,0.39876086,0.04972978
World,OWID_WRL,1986,0.88857204,0.043142065,0.2688055,0.5766245,35398316000.0,0.48532727,0.4032448,0.09568697
World,OWID_WRL,1987,0.9055624,0.04414807,0.27291462,0.5884997,36161890000.0,0.49790648,0.40765595,0.2430264
World,OWID_WRL,1988,0.92296904,0.045151204,0.27709177,0.60072607,37071196000.0,0.5110006,0.41196844,0.28215173
World,OWID_WRL,1989,0.94047165,0.046167277,0.28130084,0.61300355,37393690000.0,0.5241703,0.41630137,0.17925027
World,OWID_WRL,1990,0.95807177,0.047188126,0.28544247,0.62544113,37861167000.0,0.53739566,0.4206761,0.36056247
World,OWID_WRL,1991,0.9757229,0.048205126,0.28947267,0.63804513,38189654000.0,0.5507144,0.42500854,0.33889654
World,OWID_WRL,1992,0.99287736,0.04922293,0.29324505,0.6504094,37660260000.0,0.5636105,0.42926687,0.124896795
World,OWID_WRL,1993,1.0098455,0.050235074,0.2967397,0.66287076,37883445000.0,0.57643807,0.43340746,0.16565846
World,OWID_WRL,1994,1.0271695,0.051262397,0.3003148,0.6755922,38568268000.0,0.5894452,0.4377242,0.23354977
World,OWID_WRL,1995,1.0447944,0.052320216,0.30394486,0.6885294,39237210000.0,0.6028442,0.44195023,0.37686616
World,OWID_WRL,1996,1.0627294,0.05339479,0.3075537,0.70178086,40058495000.0,0.61661637,0.446113,0.2766894
World,OWID_WRL,1997,1.081362,0.054461602,0.3109842,0.7159163,42008400000.0,0.6304329,0.45092916,0.4223085
World,OWID_WRL,1998,1.099029,0.055526387,0.31421894,0.7292837,40243634000.0,0.64392704,0.4551019,0.57731646
World,OWID_WRL,1999,1.1166768,0.056597173,0.31719583,0.74288386,40820010000.0,0.65741855,0.45925832,0.32448497
World,OWID_WRL,2000,1.1348643,0.057675,0.3205483,0.75664103,41343422000.0,0.67170763,0.46315667,0.3310848
World,OWID_WRL,2001,1.1533176,0.05875687,0.3242349,0.77032584,41203966000.0,0.68637943,0.4669382,0.48928034
World,OWID_WRL,2002,1.172074,0.05985295,0.32773745,0.78448355,42279180000.0,0.70119125,0.47088268,0.5434665
World,OWID_WRL,2003,1.1921023,0.06095276,0.3316785,0.799471,44362280000.0,0.71705705,0.4750452,0.5441702
World,OWID_WRL,2004,1.212658,0.06208902,0.3357979,0.8147711,45323980000.0,0.7334414,0.4792166,0.46737072
World,OWID_WRL,2005,1.233472,0.06323402,0.34001568,0.8302223,45839122000.0,0.7503607,0.48311126,0.60686255
World,OWID_WRL,2006,1.2550482,0.064393535,0.34438074,0.84627384,47368860000.0,0.7678241,0.487224,0.5725527
World,OWID_WRL,2007,1.2767724,0.06558632,0.34873658,0.8624494,47793620000.0,0.7856415,0.49113086,0.5917013
World,OWID_WRL,2008,1.2987996,0.066765755,0.35305542,0.87897843,48658096000.0,0.8036416,0.49515796,0.46564984
World,OWID_WRL,2009,1.3203139,0.067932606,0.3569332,0.89544815,48450773000.0,0.8210861,0.49922788,0.5967817
World,OWID_WRL,2010,1.3427223,0.069121934,0.36095947,0.91264087,50274144000.0,0.83956045,0.50316185,0.68037146
World,OWID_WRL,2011,1.3662771,0.07035647,0.36552534,0.9303953,51856640000.0,0.8589753,0.5073018,0.53769773
World,OWID_WRL,2012,1.3902665,0.071604684,0.37033954,0.94832236,52393185000.0,0.8788133,0.5114533,0.5776071
World,OWID_WRL,2013,1.4142394,0.07284773,0.37509152,0.96630025,52483064000.0,0.89878154,0.5154579,0.6235754
World,OWID_WRL,2014,1.4385213,0.07410411,0.37989125,0.9845259,53155336000.0,0.9189197,0.51960164,0.67287165
World,OWID_WRL,2015,1.4628737,0.075364724,0.3845559,1.0029532,53660480000.0,0.938911,0.52396274,0.82511437
World,OWID_WRL,2016,1.486737,0.07663571,0.3891236,1.0209777,52822622000.0,0.9587203,0.52801675,0.93292713
World,OWID_WRL,2017,1.5110993,0.077930525,0.39399737,1.0391715,53405286000.0,0.97892034,0.532179,0.84517425
World,OWID_WRL,2018,1.5360005,0.079223044,0.3991511,1.0576264,54066300000.0,0.9997744,0.53622603,0.762654
World,OWID_WRL,2019,1.5613217,0.080522485,0.4044328,1.0763664,54821320000.0,1.020951,0.54037064,0.8910726
World,OWID_WRL,2020,1.5854142,0.081836216,0.40951592,1.0940621,52585247000.0,1.0410577,0.54435647,0.9227938
World,OWID_WRL,2021,1.6106,0.08317285,0.41484845,1.1125787,54593196000.0,1.062219,0.548381,0.7618559
